lesson_id,title,affected_component,root_cause_summary,fix_location,fix_summary,verification_summary,status
L1,Event Injection,,,,,,not started
L2,Broken Authentication,,,,,,not started
L3,Sensitive Information Disclosure,,,,,,not started
L4,Insecure Cloud Configuration,,,,,,not started
L5,Broken Access Control,,,,,,not started
L6,Denial of Service,,,,,,not started
L7,Over-Privileged Function,,,,,,not started
L8,Logic Vulnerabilities,,,,,,not started
L9,Vulnerable Dependencies,,,,,,not started
L10,Unhandled Exceptions,,,,,,not started
